mac_id,Reason
bc:4c:c4:df:a9:13,Anomaly based on location
bc:4c:c4:df:a9:14,Anomaly based on location
bc:4c:c4:df:a9:16,Anomaly based on location
bc:4c:c4:df:a9:18,Anomaly based on location
bc:4c:c4:df:a9:19,Anomaly based on location
bc:4c:c4:df:a9:39,Anomaly based on location
bc:4c:c4:df:a9:42,Anomaly based on location
bc:4c:c4:df:a9:65,Anomaly based on location
bc:4c:c4:df:a9:67,Anomaly based on location
bc:4c:c4:df:a9:68,Anomaly based on location
bc:4c:c4:df:a9:95,Anomaly based on location
bc:4c:c4:df:a9:96,Anomaly based on location
bc:4c:c4:df:10:10,Anomaly based on location
bc:4c:c4:df:10:17,Anomaly based on location
bc:4c:c4:df:10:34,Anomaly based on location
bc:4c:c4:df:10:39,Anomaly based on location
bc:4c:c4:df:10:44,Anomaly based on location
bc:4c:c4:df:10:58,Anomaly based on location
bc:4c:c4:df:10:60,Anomaly based on location
bc:4c:c4:df:10:66,Anomaly based on location
bc:4c:c4:df:10:68,Anomaly based on location
bc:4c:c4:df:10:85,Anomaly based on location
bc:4c:c4:df:10:87,Anomaly based on location
bc:4c:c4:df:10:88,Anomaly based on location
bc:4c:c4:df:10:91,Anomaly based on location
bc:4c:c4:df:10:108,Anomaly based on location
bc:4c:c4:df:10:112,Anomaly based on location
bc:4c:c4:df:10:114,Anomaly based on location
bc:4c:c4:df:10:116,Anomaly based on location
bc:4c:c4:df:10:133,Anomaly based on location
bc:4c:c4:df:10:139,Anomaly based on location
bc:4c:c4:df:10:145,Anomaly based on location
bc:4c:c4:df:10:152,Anomaly based on location
bc:4c:c4:df:10:162,Anomaly based on location
bc:4c:c4:df:10:163,Anomaly based on location
bc:4c:c4:df:10:165,Anomaly based on location
bc:4c:c4:df:10:167,Anomaly based on location
bc:4c:c4:df:10:169,Anomaly based on location
bc:4c:c4:df:10:173,Anomaly based on location
bc:4c:c4:df:10:175,Anomaly based on location
bc:4c:c4:df:10:187,Anomaly based on location
bc:4c:c4:df:10:190,Anomaly based on location
bc:4c:c4:df:10:198,Anomaly based on location
bc:4c:c4:df:10:200,Anomaly based on location
bc:4c:c4:df:10:205,Anomaly based on location
bc:4c:c4:df:10:206,Anomaly based on location
bc:4c:c4:df:10:207,Anomaly based on location
bc:4c:c4:df:10:211,Anomaly based on location
bc:4c:c4:df:10:215,Anomaly based on location
bc:4c:c4:df:10:217,Anomaly based on location
bc:4c:c4:df:10:218,Anomaly based on location
bc:4c:c4:df:10:226,Anomaly based on location
bc:4c:c4:df:10:231,Anomaly based on location
bc:4c:c4:df:10:236,Anomaly based on location
bc:4c:c4:df:10:240,Anomaly based on location
bc:4c:c4:df:10:242,Anomaly based on location
bc:4c:c4:df:10:243,Anomaly based on location
bc:4c:c4:df:10:248,Anomaly based on location
bc:4c:c4:df:10:250,Anomaly based on location
bc:4c:c4:df:10:252,Anomaly based on location
bc:4c:c4:df:10:256,Anomaly based on location
bc:4c:c4:df:10:257,Anomaly based on location
bc:4c:c4:df:10:258,Anomaly based on location
bc:4c:c4:df:10:259,Anomaly based on location
bc:4c:c4:df:10:260,Anomaly based on location
bc:4c:c4:df:10:262,Anomaly based on location
bc:4c:c4:df:10:270,Anomaly based on location
bc:4c:c4:df:10:272,Anomaly based on location
bc:4c:c4:df:10:279,Anomaly based on location
bc:4c:c4:df:10:285,Anomaly based on location
bc:4c:c4:df:10:287,Anomaly based on location
bc:4c:c4:df:10:288,Anomaly based on location
bc:4c:c4:df:10:300,Anomaly based on location
bc:4c:c4:df:10:302,Anomaly based on location
bc:4c:c4:df:10:313,Anomaly based on location
bc:4c:c4:df:10:314,Anomaly based on location
bc:4c:c4:df:10:321,Anomaly based on location
bc:4c:c4:df:10:322,Anomaly based on location
bc:4c:c4:df:10:324,Anomaly based on location
bc:4c:c4:df:10:328,Anomaly based on location
bc:4c:c4:df:10:330,Anomaly based on location
bc:4c:c4:df:10:332,Anomaly based on location
bc:4c:c4:df:10:334,Anomaly based on location
bc:4c:c4:df:10:335,Anomaly based on location
bc:4c:c4:df:10:336,Anomaly based on location
bc:4c:c4:df:10:337,Anomaly based on location
bc:4c:c4:df:10:341,Anomaly based on location
bc:4c:c4:df:10:342,Anomaly based on location
bc:4c:c4:df:10:343,Anomaly based on location
bc:4c:c4:df:10:346,Anomaly based on location
bc:4c:c4:df:10:348,Anomaly based on location
bc:4c:c4:df:10:350,Anomaly based on location
bc:4c:c4:df:10:355,Anomaly based on location
bc:4c:c4:df:10:361,Anomaly based on location
bc:4c:c4:df:10:368,Anomaly based on location
bc:4c:c4:df:10:370,Anomaly based on location
bc:4c:c4:df:10:371,Anomaly based on location
bc:4c:c4:df:10:373,Anomaly based on location
bc:4c:c4:df:10:374,Anomaly based on location
bc:4c:c4:df:10:377,Anomaly based on location
bc:4c:c4:df:10:379,Anomaly based on location
bc:4c:c4:df:10:380,Anomaly based on location
bc:4c:c4:df:10:391,Anomaly based on location
bc:4c:c4:df:10:392,Anomaly based on location
bc:4c:c4:df:10:393,Anomaly based on location
bc:4c:c4:df:10:396,Anomaly based on location
bc:4c:c4:df:10:397,Anomaly based on location
bc:4c:c4:df:10:398,Anomaly based on location
bc:4c:c4:df:a9:03,Anomaly based on time
bc:4c:c4:df:a9:06,Anomaly based on time
bc:4c:c4:df:a9:07,Anomaly based on time
bc:4c:c4:df:a9:09,Anomaly based on time
bc:4c:c4:df:a9:28,Anomaly based on time
da:a1:19:68:a4:58,Anomaly based on time
bc:4c:c4:df:a9:32,Anomaly based on time
bc:4c:c4:df:a9:34,Anomaly based on time
bc:4c:c4:df:a9:35,Anomaly based on time
bc:4c:c4:df:a9:50,Anomaly based on time
bc:4c:c4:df:a9:57,Anomaly based on time
bc:4c:c4:df:a9:60,Anomaly based on time
bc:4c:c4:df:a9:61,Anomaly based on time
bc:4c:c4:df:a9:74,Anomaly based on time
bc:4c:c4:df:a9:75,Anomaly based on time
bc:4c:c4:df:a9:77,Anomaly based on time
bc:4c:c4:df:a9:78,Anomaly based on time
bc:4c:c4:df:a9:79,Anomaly based on time
bc:4c:c4:df:a9:81,Anomaly based on time
bc:4c:c4:df:a9:82,Anomaly based on time
bc:4c:c4:df:a9:83,Anomaly based on time
bc:4c:c4:df:a9:98,Anomaly based on time
bc:4c:c4:df:a9:99,Anomaly based on time
bc:4c:c4:df:10:00,Anomaly based on time
bc:4c:c4:df:10:08,Anomaly based on time
bc:4c:c4:df:10:25,Anomaly based on time
bc:4c:c4:df:10:26,Anomaly based on time
bc:4c:c4:df:10:27,Anomaly based on time
bc:4c:c4:df:10:28,Anomaly based on time
bc:4c:c4:df:10:31,Anomaly based on time
bc:4c:c4:df:10:32,Anomaly based on time
bc:4c:c4:df:10:48,Anomaly based on time
bc:4c:c4:df:10:50,Anomaly based on time
bc:4c:c4:df:10:53,Anomaly based on time
bc:4c:c4:df:10:55,Anomaly based on time
bc:4c:c4:df:10:57,Anomaly based on time
bc:4c:c4:df:10:70,Anomaly based on time
bc:4c:c4:df:10:72,Anomaly based on time
bc:4c:c4:df:10:95,Anomaly based on time
bc:4c:c4:df:10:97,Anomaly based on time
bc:4c:c4:df:10:98,Anomaly based on time
bc:4c:c4:df:10:99,Anomaly based on time
bc:4c:c4:df:10:119,Anomaly based on time
bc:4c:c4:df:10:121,Anomaly based on time
bc:4c:c4:df:10:122,Anomaly based on time
bc:4c:c4:df:10:126,Anomaly based on time
bc:4c:c4:df:10:129,Anomaly based on time
bc:4c:c4:df:10:142,Anomaly based on time
